who,book,chapter,startVerse,endVerse,startWord,endWord
lehi,1-nephi,1,13,13,5,14
lehi,1-nephi,1,14,14,29,78
lord,1-nephi,2,1,1,23,59
lehi,1-nephi,2,9,9,25,41
lehi,1-nephi,2,10,10,7,27
lord,1-nephi,2,19,24,13,27
lehi,1-nephi,3,2,6,12,17
nephi,1-nephi,3,7,7,13,56
laban,1-nephi,3,13,13,33,42
nefi,1-nephi,3,15,20,8,45
angel,1-nephi,3,29,29,30,77
lamanlemuel,1-nephi,3,31,31,15,48
nephi,1-nephi,4,1,3,13,46
nephi,1-nephi,4,10,10,24,34
spirit,1-nephi,4,11,11,8,16
spirit,1-nephi,4,12,13,13,30
lord,1-nephi,4,14,14,27,42
nephi,1-nephi,4,34,34,8,48
sariah,1-nephi,5,2,2,29,52
lehi,1-nephi,5,4,5,14,43
sariah,1-nephi,5,8,8,5,62
nephi,1-nephi,7,8,15,26,60
nephi,1-nephi,7,17,17,13,48
lehi,1-nephi,8,2,28,19,29
lehi,1-nephi,8,34,35,8,9
futurejohnthebaptist,1-nephi,10,8,8,12,48
spirit,1-nephi,11,2,2,7,10
nephi,1-nephi,11,3,3,4,13
spirit,1-nephi,11,4,4,7,19
nephi,1-nephi,11,5,5,4,15
spirit,1-nephi,11,6,7,16,59
spirit,1-nephi,11,8,10,12,8
nephi,1-nephi,11,11,11,6,10
spirit,1-nephi,11,12,14,11,29
nephi,1-nephi,11,15,15,6,15
spirit,1-nephi,11,16,16,6,11
nephi,1-nephi,11,17,17,6,22
spirit,1-nephi,11,18,18,6,25
spirit,1-nephi,11,19,21,39,30
nephi,1-nephi,11,22,22,6,33
spirit,1-nephi,11,23,23,7,14
spirit,1-nephi,11,24,26,12,14
spirit,1-nephi,11,30,31,14,8
spirit,1-nephi,11,35,35,41,65
spirit,1-nephi,11,36,36,45,66
spirit,1-nephi,12,1,1,12,23
spirit,1-nephi,12,8,8,8,22
spirit,1-nephi,12,9,10,6,35
spirit,1-nephi,12,11,11,7,52
spirit,1-nephi,12,14,14,7,16
spirit,1-nephi,12,16,18,8,73
spirit,1-nephi,12,22,22,7,12
spirit,1-nephi,13,1,2,13,9
nephi,1-nephi,13,2,2,13,18
spirit,1-nephi,13,3,3,6,14
spirit,1-nephi,13,5,5,7,48
spirit,1-nephi,13,8,9,8,21
spirit,1-nephi,13,11,11,12,23
spirit,1-nephi,13,21,21,7,13
nephi,1-nephi,13,22,22,6,8
spirit,1-nephi,13,23,23,4,13
spirit,1-nephi,13,23,23,24,110
spirit,1-nephi,13,24,33,10,27
spirit,1-nephi,14,5,7,14,96
spirit,1-nephi,14,8,8,18,29
lamanlemuel,1-nephi,15,7,7,4,26
nephi,1-nephi,15,8,8,6,11
lamanlemuel,1-nephi,15,9,9,6,18
nephi,1-nephi,15,10,18,6,52
lamanlemuel,1-nephi,15,21,21,14,31
nephi,1-nephi,15,22,22,6,14
lamanlemuel,1-nephi,15,23,23,6,20
lamanlemuel,1-nephi,15,26,26,6,15
lamanlemuel,1-nephi,15,31,31,6,46
lamanlemuel,1-nephi,16,1,1,25,38
nephi,1-nephi,16,3,3,1,45
nephi,1-nephi,16,23,23,47,53
lord,1-nephi,16,26,26,15,25
daughtersofishmael,1-nephi,16,35,35,48,83
lamanlemuel,1-nephi,16,37,38,13,92
lord,1-nephi,17,7,7,32,38
lord,1-nephi,17,8,8,13,34
nephi,1-nephi,17,9,9,4,33
lord,1-nephi,17,12,13,23,57
lord,1-nephi,17,14,14,8,46
lamanlemuel,1-nephi,17,17,55,21,30
nephi,1-nephi,17,55,55,50,88
lamanlemuel,1-nephi,18,10,10,54,66
zenos,1-nephi,19,11,11,6,70
nephi,1-nephi,19,24,24,7,76
lamanlemuel,1-nephi,22,1,1,32,64
nephi,1-nephi,22,2,31,7,48
